drug_name,num_prescriber,total_cost
ALPRAZOLAM,116,69271.36000000004
AMANTADINE,3,43883.729999999996
AMBIEN,1,4792.29
AMBIEN CR,1,4792.29
AMITRIPTYLINE HCL,13,39944.5
ARIPIPRAZOLE,3,317076.70999999996
BENZTROPINE MESYLATE,3,16829.899999999998
BUPROPION XL,4,65982.58999999998
BUSPIRONE HCL,7,29682.480000000003
CHLORPROMAZINE HCL,1,102244.39
CITALOPRAM HBR,12,48082.860000000015
CLOMIPRAMINE HCL,1,23340.300000000003
CLONAZEPAM,9,41811.27000000002
CLOZAPINE,1,45755.11
DESIPRAMINE HCL,3,7724.780000000001
DEXTROAMPHETAMINE-AMPHETAMINE,1,18966.45
DIAZEPAM,8,15424.660000000003
DIVALPROEX SODIUM,4,83608.34999999998
DIVALPROEX SODIUM ER,2,171778.03000000003
DONEPEZIL HCL,7,140259.27999999994
DOXEPIN HCL,1,11612.589999999998
DULOXETINE HCL,8,456412.13000000006
ESCITALOPRAM OXALATE,2,61561.84000000002
FANAPT,1,21495.309999999998
FETZIMA,1,12320.7
FLUOXETINE HCL,3,65348.74000000001
FLUPHENAZINE DECANOATE,1,9705.0
FLUPHENAZINE HCL,1,5635.150000000001
FLUVOXAMINE MALEATE,1,3170.81
GABAPENTIN,33,348523.2599999999
HALOPERIDOL,1,31095.83
HYDROXYZINE HCL,6,16570.81
INVEGA SUSTENNA,1,475136.19
LAMOTRIGINE,1,18312.540000000008
LATUDA,1,285556.64
LITHIUM CARBONATE,1,3816.3000000000006
LITHIUM CARBONATE ER,1,2881.5399999999995
LORAZEPAM,6,45163.77000000001
MIRTAZAPINE,1,85748.73000000001
NORTRIPTYLINE HCL,1,9248.75
OLANZAPINE,4,96184.05000000002
OLANZAPINE ODT,1,21097.33
OLEPTRO ER,1,2919.43
OXCARBAZEPINE,2,13735.979999999996
PAROXETINE HCL,1,37567.99
PERPHENAZINE,1,9277.250000000002
PRISTIQ ER,1,47355.48
QUETIAPINE FUMARATE,5,119610.86000000003
RISPERIDONE,1,57230.80999999999
SEROQUEL XR,1,247002.00999999998
SERTRALINE HCL,2,73483.91000000002
THIOTHIXENE,1,7003.03
TOFRANIL,1,7948.98
TOPIRAMATE,2,17715.1
TRAZODONE HCL,2,57367.820000000014
TRIFLUOPERAZINE HCL,1,3994.79
TRIHEXYPHENIDYL HCL,1,2638.2200000000003
VALPROIC ACID,2,7270.7699999999995
VENLAFAXINE HCL ER,3,62206.81
VIIBRYD,1,18232.85
VYVANSE,1,14688.3
WELLBUTRIN XL,1,36671.74
XANAX,1,13058.1
ZALEPLON,1,1857.8799999999999
ZIPRASIDONE HCL,1,66002.36
ZOLPIDEM TARTRATE,2,63575.359999999986
ZOLPIDEM TARTRATE ER,1,16783.28
ZYPREXA,1,41386.770000000004
AMOXICILLIN,64,14425.019999999997
CIPROFLOXACIN HCL,25,24260.190000000006
HYDROCODONE-ACETAMINOPHEN,60,426415.56999999995
IBUPROFEN,8,33757.09000000002
OXYCODONE-ACETAMINOPHEN,18,293549.00999999995
PREDNISONE,18,72536.35
BICALUTAMIDE,2,8126.47
CEPHALEXIN,4,16887.2
FINASTERIDE,2,122120.32
LACTULOSE,2,22877.869999999995
TAMSULOSIN HCL,4,253913.86999999997
TERAZOSIN HCL,1,18433.670000000002
TROSPIUM CHLORIDE,1,14629.810000000001
ALPHAGAN P,3,82993.59
BRIMONIDINE TARTRATE,6,41303.52
COMBIGAN,5,124276.73
DORZOLAMIDE HCL,1,11380.36
DORZOLAMIDE-TIMOLOL,3,26571.460000000003
DUREZOL,1,19517.780000000002
GENTAMICIN SULFATE,1,5411.72
LATANOPROST,4,66949.87999999999
PREDNISOLONE ACETATE,2,97888.38
TIMOLOL MALEATE,1,42983.89000000001
VALGANCICLOVIR HCL,1,46708.89
TRAVATAN Z,1,152842.21000000002
ADVAIR DISKUS,3,1628592.0999999999
AMLODIPINE BESYLATE,29,202162.91000000006
HYDROCHLOROTHIAZIDE,5,73290.15000000001
LISINOPRIL,9,196385.48000000004
OMEPRAZOLE,12,330134.4000000002
AZOPT,1,49974.27
BROMFENAC SODIUM,1,3839.4300000000003
ERYTHROMYCIN,1,14646.119999999999
ILEVRO,1,20301.56
LUMIGAN,1,290661.74
OFLOXACIN,1,10658.88
PATADAY,3,56658.880000000005
VIGAMOX,1,28224.07
ACETAMINOPHEN-CODEINE,3,34141.67999999999
ACETAZOLAMIDE,1,12518.03
BACLOFEN,1,69987.52000000002
CARBAMAZEPINE ER,1,24007.739999999998
CLOPIDOGREL,5,204522.44000000003
LEVETIRACETAM,1,88482.04
OXYCODONE HCL,8,148175.2199999999
PHENOBARBITAL,1,15979.2
PHENYTOIN SODIUM EXTENDED,1,36789.689999999995
PRAVASTATIN SODIUM,2,295670.36000000004
PYRIDOSTIGMINE BROMIDE,1,5493.21
